1,Jose,Mourinho,A1,Window,1000
2,Pep,Gaurdiola,A2,Middle,500
3,Arsene,Wenger,A3,Aisle,750
4,Antonio,Conte,A4,Window,1000
5,Jurgen,Klopp,A5,Middle,500
6,Wayne,Rooney,A6,Aisle,750
7,Paul,Pogba,B1,Window,1000
8,Romelu,Lukaku,B2,Middle,500
9,David,Degea,B3,Aisle,750
10,David,Beckham,B4,Window,1000
11,Ryan,Giggs,B5,Middle,500
12,Paul,Scholes,B6,Aisle,750
13,Roy,Keane,C1,Window,1000
14,Eric,Cantona,C2,Middle,500
15,Robin,VanPersie,C3,Aisle,750
16,Cristiano,Ronaldo,C4,Window,1000
17,Gary,Nevile,C5,Middle,500
18,Thiery,Henry,C6,Aisle,750
19,Frank,Lampard,D1,Window,1000
20,Steven,Gerrard,D2,Middle,500
21,John,Smith,D4,Aisle,750
22,John,Mourinho,D5,Window,1000
23,John,Gaurdiola,D6,Middle,500
24,John,Wenger,E1,Aisle,750
25,John,Conte,E2,Window,1000
26,John,Klopp,E3,Middle,500
27,John,Rooney,E4,Aisle,750
28,John,Pogba,E5,Window,1000
29,John,Lukaku,E6,Middle,500
30,John,Degea,F1,Aisle,750
31,John,Beckham,F2,Window,1000
32,John,Giggs,F3,Middle,500
33,John,Scholes,F4,Aisle,750
34,John,Keane,F5,Window,1000
35,John,Cantona,F6,Middle,500
36,John,VanPersie,G1,Aisle,750
37,John,Ronaldo,G2,Window,1000
38,John,Nevile,G3,Middle,500
39,John,Henry,G4,Aisle,750
40,John,Lampard,G5,Window,1000
41,John,Gerrard,G6,Middle,500
42,John,Smith,H1,Aisle,750
43,John,Mourinho,H2,Window,1000
44,John,Gaurdiola,H3,Middle,500
45,John,Wenger,H4,Aisle,750
46,John,Conte,H5,Window,1000
47,John,Klopp,H6,Middle,500
48,John,Rooney,I1,Aisle,750
49,John,Pogba,I2,Window,1000
50,Smith,Lukaku,I3,Middle,500
51,Smith,Degea,I4,Aisle,750
52,Smith,Beckham,I5,Window,1000
53,Smith,Giggs,I6,Middle,500
54,Smith,Scholes,J1,Aisle,750
55,Smith,Keane,J2,Window,1000
56,Smith,Cantona,J3,Middle,500
57,Smith,VanPersie,J4,Aisle,750
58,Smith,Ronaldo,J5,Window,1000
59,Smith,Nevile,J6,Middle,500
60,Smith,Henry,K1,Aisle,750
61,Smith,Lampard,K2,Window,1000
62,Smith,Gerrard,K3,Middle,500
63,Smith,Jose,K4,Aisle,750
64,Smith,Pep,K5,Window,1000
65,Smith,Arsene,K6,Middle,500
66,Smith,Antonio,L1,Aisle,750
67,Smith,Jurgen,L2,Window,1000
68,Smith,Wayne,L3,Middle,500
69,Smith,Paul,L4,Aisle,750
70,Smith,Romelu,L5,Window,1000
71,Smith,David,L6,Middle,500
72,Smith,David,M1,Aisle,750
73,Smith,Ryan,M2,Window,1000
74,Smith,Paul,M3,Middle,500
75,Smith,Roy,M4,Aisle,750
76,Smith,Eric,M5,Window,1000
77,Smith,Robin,M6,Middle,500
78,Smith,Cristiano,N1,Aisle,750
79,Smith,Gary,N2,Window,1000
80,Smith,Thiery,N3,Middle,500
81,Smith,Frank,N4,Aisle,750
82,Smith,Steven,N5,Window,1000
83,Smith,Jones,N6,Middle,500
84,Smith,Collin,O1,Aisle,750
85,Smith,Stone,O2,Window,1000
86,Smith,Ian,O3,Middle,500
87,Smith,Jack,O4,Aisle,750
88,Smith,Steven,O5,Window,1000
89,Steven,Paul,O6,Middle,500
90,Steven,Roy,P1,Aisle,750
91,Steven,Eric,P2,Window,1000
92,Steven,Robin,P3,Middle,500
93,Steven,Cristiano,P4,Aisle,750
94,Steven,Gary,P5,Window,1000
95,Steven,Thiery,P6,Middle,500
96,Steven,Frank,Q1,Aisle,1000
97,Steven,Steven,Q2,Window,500
98,Steven,Jones,Q3,Middle,750
99,Steven,Collin,Q4,Aisle,1000
100,Steven,Stone,Q5,Window,500
